"specimen","picture_number","link_path"
"C. cristata",1864,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\C. cristata\IMG_1864.JPG"
"C. cristata",1865,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\C. cristata\IMG_1865.JPG"
"C. cristata",1867,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\C. cristata\IMG_1867.JPG"
"C. cristata",1866,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\C. cristata\IMG_1866.JPG"
"C. cristata",1868,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\C. cristata\IMG_1868.JPG"
"C. cristata",1871,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\C. cristata\IMG_1871.JPG"
"C. cristata",1872,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\C. cristata\IMG_1872.JPG"
"C. cristata",1869,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\C. cristata\IMG_1869.JPG"
"C. cristata",1870,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\C. cristata\IMG_1870.JPG"
"C. cristata",1873,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\C. cristata\IMG_1873.JPG"
"C. cristata",1874,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\C. cristata\IMG_1874.JPG"
"C. cristata",1875,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\C. cristata\IMG_1875.JPG"
"C. cristata",1876,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\C. cristata\IMG_1876.JPG"
"C. cristata",1877,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\C. cristata\IMG_1877.JPG"
"H. grypus_1",1847,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_1\IMG_1847.JPG"
"H. grypus_1",1848,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_1\IMG_1848.JPG"
"H. grypus_1",1849,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_1\IMG_1849.JPG"
"H. grypus_1",1850,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_1\IMG_1850.JPG"
"H. grypus_1",1851,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_1\IMG_1851.JPG"
"H. grypus_1",1854,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_1\IMG_1854.JPG"
"H. grypus_1",1853,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_1\IMG_1853.JPG"
"H. grypus_1",1855,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_1\IMG_1855.JPG"
